iter	Passed	Remaining
0	2	291
1	3	194
2	4	160
3	8	206
4	9	184
5	10	168
6	11	154
7	12	144
8	13	136
9	14	130
10	15	125
11	18	133
12	19	133
13	20	128
14	21	123
15	22	120
16	23	116
17	24	113
18	25	109
19	26	106
20	27	104
21	29	104
22	30	102
23	31	100
24	33	100
25	34	98
26	36	97
27	37	95
28	38	93
29	39	91
30	39	88
31	40	86
32	42	86
33	43	84
34	44	82
35	45	81
36	46	79
37	47	78
38	49	76
39	50	75
40	51	73
41	51	71
42	52	69
43	53	68
44	55	67
45	56	65
46	57	64
47	58	63
48	59	61
49	60	60
50	61	59
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	70	46
60	71	45
61	72	44
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	81	36
69	82	35
70	83	34
71	84	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	99	16
86	101	15
87	102	13
88	103	12
89	104	11
90	105	10
91	107	9
92	107	8
93	109	6
94	109	5
95	111	4
96	112	3
97	113	2
98	114	1
99	114	0
