iter	Passed	Remaining
0	150	149862
1	151	75526
2	152	50836
3	154	38365
4	155	30922
5	156	25947
6	157	22379
7	160	19924
8	161	17812
9	162	16118
10	163	14730
11	164	13580
12	166	12607
13	167	11768
14	168	11054
15	169	10423
16	170	9875
17	171	9382
18	174	9025
19	176	8629
20	177	8268
21	178	7950
22	180	7650
23	181	7376
24	182	7125
25	183	6886
26	185	6672
27	186	6474
28	187	6287
29	189	6126
30	190	5964
31	192	5808
32	193	5661
33	194	5523
34	195	5392
35	196	5269
36	198	5160
37	199	5056
38	201	4954
39	204	4898
40	205	4806
41	206	4717
42	208	4632
43	209	4550
44	210	4473
45	212	4397
46	213	4325
47	214	4257
48	218	4242
49	219	4177
50	221	4116
51	222	4057
52	223	4001
53	225	3944
54	227	3906
55	228	3857
56	230	3808
57	234	3809
58	236	3764
59	237	3720
60	238	3673
61	239	3628
62	241	3586
63	242	3545
64	243	3504
65	244	3466
66	246	3431
67	249	3420
68	250	3384
69	252	3349
70	253	3316
71	254	3285
72	256	3255
73	257	3224
74	259	3195
75	260	3171
76	263	3163
77	265	3136
78	266	3107
79	267	3079
80	269	3052
81	270	3025
82	270	2992
83	272	2966
84	273	2942
85	274	2916
86	275	2894
87	279	2893
88	280	2870
89	281	2847
90	282	2825
91	284	2805
92	285	2784
93	287	2766
94	288	2747
95	289	2728
96	291	2709
97	294	2707
98	295	2689
99	296	2670
100	298	2652
101	299	2636
102	300	2619
103	302	2603
104	303	2586
105	304	2569
106	305	2553
107	308	2551
108	310	2536
109	311	2520
110	312	2505
111	314	2491
112	315	2476
113	316	2462
114	318	2448
115	319	2434
116	320	2418
117	323	2419
118	325	2407
119	327	2398
120	332	2416
121	333	2401
122	334	2386
123	338	2393
124	340	2381
125	341	2368
126	342	2354
127	343	2341
128	344	2329
129	346	2316
130	347	2306
131	349	2296
132	350	2284
133	351	2273
134	355	2276
135	356	2265
136	357	2254
137	359	2243
138	360	2231
139	361	2220
140	362	2209
141	363	2195
142	364	2185
143	365	2175
144	367	2165
145	369	2160
146	370	2151
147	372	2141
148	373	2131
149	374	2123
150	375	2113
151	377	2104
152	378	2094
153	379	2085
154	380	2076
155	382	2068
156	385	2071
157	388	2068
158	389	2059
159	390	2052
160	391	2041
161	393	2034
162	394	2024
163	395	2016
164	396	2008
165	400	2011
166	401	2003
167	402	1994
168	404	1986
169	405	1979
170	406	1971
171	408	1964
172	409	1957
173	410	1949
174	412	1943
175	416	1949
176	418	1944
177	421	1944
178	422	1937
179	423	1930
180	425	1923
181	427	1921
182	430	1922
183	431	1914
184	433	1907
185	434	1900
186	435	1893
187	436	1887
188	438	1881
189	439	1874
190	441	1868
191	442	1861
192	445	1861
193	446	1855
194	447	1848
195	449	1841
